algorithm,image,width,height,reading,processing,writing
Seriale, Bricks_4K.jpg , 4096 , 2048 , 661.97, 932.215, 1298.75
Seriale, Bricks_4K.jpg , 4096 , 2048 , 667.666, 933.485, 1190.11
Seriale, Bricks_4K.jpg , 4096 , 2048 , 672.238, 931.095, 1144.07
Seriale, Bricks_4K.jpg , 4096 , 2048 , 678.394, 935.329, 1305.65
Seriale, Bricks_4K.jpg , 4096 , 2048 , 667.117, 930.576, 1305.01
Seriale, Bricks_4K.jpg , 4096 , 2048 , 665.879, 935.096, 1289.71
Seriale, Bricks_4K.jpg , 4096 , 2048 , 666.138, 944.836, 1100.43
Seriale, Bricks_4K.jpg , 4096 , 2048 , 662.967, 934.679, 1387.36
Seriale, Bricks_4K.jpg , 4096 , 2048 , 667.792, 933.551, 1141.01
Seriale, Bricks_4K.jpg , 4096 , 2048 , 666.769, 930.693, 1122.29
