algorithm,image,width,height,reading,processing,writing
Seriale, Bricks_2K.jpg , 2048 , 1024 , 172.466, 232.511, 358.411
Seriale, Bricks_2K.jpg , 2048 , 1024 , 171.795, 232.423, 303.956
Seriale, Bricks_2K.jpg , 2048 , 1024 , 175.544, 234.406, 441.273
Seriale, Bricks_2K.jpg , 2048 , 1024 , 175.402, 232.878, 370.709
Seriale, Bricks_2K.jpg , 2048 , 1024 , 173.434, 232.318, 353.265
Seriale, Bricks_2K.jpg , 2048 , 1024 , 173.152, 234.063, 304.154
Seriale, Bricks_2K.jpg , 2048 , 1024 , 173.563, 235.054, 309.805
Seriale, Bricks_2K.jpg , 2048 , 1024 , 172.123, 233.342, 306.656
Seriale, Bricks_2K.jpg , 2048 , 1024 , 173.878, 235.497, 309.543
Seriale, Bricks_2K.jpg , 2048 , 1024 , 171.623, 234.047, 377.066
