algorithm,image,width,height,reading,processing,writing
Seriale, Bricks_8K.jpg , 8192 , 4096 , 2502.76, 3731.95, 4220.05
Seriale, Bricks_8K.jpg , 8192 , 4096 , 2449.5, 3728.25, 4557.18
Seriale, Bricks_8K.jpg , 8192 , 4096 , 2488.65, 3723.55, 4135.52
Seriale, Bricks_8K.jpg , 8192 , 4096 , 2502.39, 3721.33, 3833.23
Seriale, Bricks_8K.jpg , 8192 , 4096 , 2497.24, 3713.06, 4885.59
Seriale, Bricks_8K.jpg , 8192 , 4096 , 2462.03, 3721.61, 4421.49
Seriale, Bricks_8K.jpg , 8192 , 4096 , 2494.55, 3753.26, 5105.86
Seriale, Bricks_8K.jpg , 8192 , 4096 , 2533.37, 3721.18, 4416.05
Seriale, Bricks_8K.jpg , 8192 , 4096 , 2473.68, 3721.81, 4110.45
Seriale, Bricks_8K.jpg , 8192 , 4096 , 2489.69, 3727.3, 4204.2
